fdc_id,description,food_category_id,is_breakfast,is_morning_snack,is_lunch,is_afternoon_snack,is_dinner,is_beverage,calories,protein,fat,cholesterol,carbohydrate,sugar,sodium,calcium,iron,potassium,vitamin_c
169890,"Cabbage, japanese style, fresh, pickled",11,1,1,1,1,1,0,30.0,1.6,0.1,0.0,5.67,1.3,277.0,48.0,0.49,853.0,0.7
169891,"Cabbage, mustard, salted",11,1,1,1,1,1,0,28.0,1.1,0.1,0.0,5.63,1.4,717.0,67.0,0.7,246.0,0.0
169892,"Eggplant, pickled",11,1,1,1,1,1,0,49.0,0.9,0.7,0.0,9.77,4.8,1674.0,25.0,0.77,12.0,0.0
169897,"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",1,1,0,0,0,0,0,358.0,35.8,5.1,44.0,41.0,39.0,717.0,500.0,2.3,1705.0,138.0
169898,"Yogurt, fruit variety, nonfat",1,1,0,0,0,0,0,95.0,4.4,0.2,2.0,19.0,19.0,58.0,152.0,0.07,194.0,0.7
169899,"Whipped cream substitute, dietetic, made from powdered mix",1,1,0,0,0,0,0,100.0,0.9,6.0,0.0,10.6,10.6,106.0,3.0,0.01,26.0,0.0
169901,"Cheese, american cheddar, imitation",1,1,0,0,0,0,0,239.0,16.7,14.0,36.0,11.6,7.74,1345.0,562.0,0.33,242.0,0.0
169904,"Eggs, scrambled, frozen mixture",1,1,0,0,0,0,0,131.0,13.1,5.6,277.0,7.5,7.5,162.0,17.0,0.23,147.0,0.0
169920,"Orange juice, chilled, includes from concentrate, with added calcium",9,1,1,1,1,1,1,47.0,0.68,0.12,0.0,11.27,8.31,2.0,140.0,0.13,178.0,33.6
169921,"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium",9,1,1,1,1,1,1,37.0,0.6,0.06,0.0,8.47,7.42,4.0,147.0,0.08,158.0,36.2
169922,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",9,1,1,1,1,1,1,147.0,2.4,0.25,0.0,33.86,29.68,7.0,578.0,0.33,629.0,144.8
169923,"Orange juice, frozen concentrate, unsweetened, undiluted",9,1,1,1,1,1,1,148.0,2.4,0.25,0.0,35.19,29.68,7.0,38.0,0.33,629.0,144.8
169924,"Tangerines, (mandarin oranges), canned, light syrup pack",9,1,1,1,1,1,0,61.0,0.45,0.1,0.0,16.19,15.49,6.0,7.0,0.37,78.0,19.8
169929,"Peaches, canned, water pack, solids and liquids",9,1,1,1,1,1,0,24.0,0.44,0.06,0.0,6.11,4.81,3.0,2.0,0.32,99.0,2.9
169930,"Peaches, canned, juice pack, solids and liquids",9,1,1,1,1,1,1,44.0,0.63,0.03,0.0,11.57,10.27,4.0,6.0,0.27,128.0,3.6
169934,"Peaches, dried, sulfured, uncooked",9,1,1,1,1,1,0,239.0,3.61,0.76,0.0,61.33,41.74,7.0,28.0,4.06,996.0,4.8
169935,"Peaches, dried, sulfured, stewed, without added sugar",9,1,1,1,1,1,0,77.0,1.16,0.25,0.0,19.69,16.99,2.0,9.0,1.31,320.0,3.7
